start,end,name
0.0,2069.731,PASSIVE_EXPERIMENT
0.0,5.501,TRIAL
0.0,5.5,STIM_00ferretmixed41.wav
0.0,5.5,REFERENCE
0.0,2.0,PreStimSilence
5.0,5.5,PostStimSilence
6.02,11.521,TRIAL
6.02,11.52,STIM_ferretmixed03.wav
6.02,11.52,REFERENCE
6.02,8.02,PreStimSilence
11.02,11.52,PostStimSilence
11.94,17.441,TRIAL
11.94,17.439999999999998,STIM_00ferretmixed41.wav
11.94,17.439999999999998,REFERENCE
11.94,13.94,PreStimSilence
16.939999999999998,17.439999999999998,PostStimSilence
17.88,23.381,TRIAL
17.88,23.38,STIM_crunching_cellophane.wav
17.88,23.38,REFERENCE
17.88,19.88,PreStimSilence
22.88,23.38,PostStimSilence
24.07,29.571,TRIAL
24.07,29.57,"STIM_ESE-23_Sparrows_-_Large_excited_group,.wav"
24.07,29.57,REFERENCE
24.07,26.07,PreStimSilence
29.07,29.57,PostStimSilence
30.05,35.551,TRIAL
30.05,35.55,STIM_ross_bird_chorus60_pt1.wav
30.05,35.55,REFERENCE
30.05,32.05,PreStimSilence
35.05,35.55,PostStimSilence
36.14,41.641,TRIAL
36.14,41.64,STIM_frogs2.wav
36.14,41.64,REFERENCE
36.14,38.14,PreStimSilence
41.14,41.64,PostStimSilence
42.29,47.791,TRIAL
42.29,47.79,STIM_SoundBible_falcon_squirrel.wav
42.29,47.79,REFERENCE
42.29,44.29,PreStimSilence
47.29,47.79,PostStimSilence
48.27,53.771,TRIAL
48.27,53.77,STIM_ferretmixed22.wav
48.27,53.77,REFERENCE
48.27,50.27,PreStimSilence
53.27,53.77,PostStimSilence
54.18,59.681,TRIAL
54.18,59.68,STIM_SE2-70_Bee_Swarm.wav
54.18,59.68,REFERENCE
54.18,56.18,PreStimSilence
59.18,59.68,PostStimSilence
60.17,65.671,TRIAL
60.17,65.67,STIM_kayser_moo.wav
60.17,65.67,REFERENCE
60.17,62.17,PreStimSilence
65.17,65.67,PostStimSilence
66.18,71.68100000000001,TRIAL
66.18,71.68,STIM_ferretmixed29.wav
66.18,71.68,REFERENCE
66.18,68.18,PreStimSilence
71.18,71.68,PostStimSilence
72.19,77.691,TRIAL
72.19,77.69,STIM_si464.wav
72.19,77.69,REFERENCE
72.19,74.19,PreStimSilence
77.19,77.69,PostStimSilence
78.18,83.68100000000001,TRIAL
78.18,83.68,STIM_kayser_tropical_insects.wav
78.18,83.68,REFERENCE
78.18,80.18,PreStimSilence
83.18,83.68,PostStimSilence
84.14,89.641,TRIAL
84.14,89.64,STIM_00ferretmixed41.wav
84.14,89.64,REFERENCE
84.14,86.14,PreStimSilence
89.14,89.64,PostStimSilence
90.09,95.59100000000001,TRIAL
90.09,95.59,STIM_ASE-53_Electric_Grinding_Wheel.wav
90.09,95.59,REFERENCE
90.09,92.09,PreStimSilence
95.09,95.59,PostStimSilence
96.08,101.581,TRIAL
96.08,101.58,STIM_SoundBible_racoon_cow.wav
96.08,101.58,REFERENCE
96.08,98.08,PreStimSilence
101.08,101.58,PostStimSilence
102.17,107.671,TRIAL
102.17,107.67,STIM_SE2-56_Rattlesnake.wav
102.17,107.67,REFERENCE
102.17,104.17,PreStimSilence
107.17,107.67,PostStimSilence
108.1,113.601,TRIAL
108.1,113.6,STIM_ferretmixed06.wav
108.1,113.6,REFERENCE
108.1,110.1,PreStimSilence
113.1,113.6,PostStimSilence
114.17,119.671,TRIAL
114.17,119.67,STIM_00Oxford_male2b.wav
114.17,119.67,REFERENCE
114.17,116.17,PreStimSilence
119.17,119.67,PostStimSilence
120.24,125.741,TRIAL
120.24,125.74,STIM_LBHB_stairs2.wav
120.24,125.74,REFERENCE
120.24,122.24,PreStimSilence
125.24,125.74,PostStimSilence
126.24,131.74099999999999,TRIAL
126.24,131.74,STIM_Music-Kenya_Os_Ipanemas.wav
126.24,131.74,REFERENCE
126.24,128.24,PreStimSilence
131.24,131.74,PostStimSilence
132.32,137.821,TRIAL
132.32,137.82,STIM_SE3-02_Brushing_Teeth.wav
132.32,137.82,REFERENCE
132.32,134.32,PreStimSilence
137.32,137.82,PostStimSilence
138.33,143.83100000000002,TRIAL
138.33,143.83,STIM_Music-Disco_Circus.wav
138.33,143.83,REFERENCE
138.33,140.33,PreStimSilence
143.33,143.83,PostStimSilence
144.36,149.86100000000002,TRIAL
144.36,149.86,STIM_crumpling_paper.wav
144.36,149.86,REFERENCE
144.36,146.36,PreStimSilence
149.36,149.86,PostStimSilence
150.35,155.851,TRIAL
150.35,155.85,STIM_00ferretmixed42.wav
150.35,155.85,REFERENCE
150.35,152.35,PreStimSilence
155.35,155.85,PostStimSilence
156.41,161.911,TRIAL
156.41,161.91,STIM_00ferretmixed41.wav
156.41,161.91,REFERENCE
156.41,158.41,PreStimSilence
161.41,161.91,PostStimSilence
162.53,168.031,TRIAL
162.53,168.03,STIM_ESE-68_Church_bells.wav
162.53,168.03,REFERENCE
162.53,164.53,PreStimSilence
167.53,168.03,PostStimSilence
168.53,174.031,TRIAL
168.53,174.03,STIM_00ferretmixed42.wav
168.53,174.03,REFERENCE
168.53,170.53,PreStimSilence
173.53,174.03,PostStimSilence
174.48,179.981,TRIAL
174.48,179.98,STIM_ASE-05_Blender.wav
174.48,179.98,REFERENCE
174.48,176.48,PreStimSilence
179.48,179.98,PostStimSilence
180.41,185.911,TRIAL
180.41,185.91,STIM_ferretmixed30.wav
180.41,185.91,REFERENCE
180.41,182.41,PreStimSilence
185.41,185.91,PostStimSilence
186.53,192.031,TRIAL
186.53,192.03,STIM_SoundBible_mechanical_hammer.wav
186.53,192.03,REFERENCE
186.53,188.53,PreStimSilence
191.53,192.03,PostStimSilence
192.57,198.071,TRIAL
192.57,198.07,STIM_SoundBible_barrded_owl.wav
192.57,198.07,REFERENCE
192.57,194.57,PreStimSilence
197.57,198.07,PostStimSilence
198.52,204.02100000000002,TRIAL
198.52,204.02,STIM_ferretmixed02.wav
198.52,204.02,REFERENCE
198.52,200.52,PreStimSilence
203.52,204.02,PostStimSilence
204.5,210.001,TRIAL
204.5,210.0,STIM_00Oxford_male2b.wav
204.5,210.0,REFERENCE
204.5,206.5,PreStimSilence
209.5,210.0,PostStimSilence
210.59,216.091,TRIAL
210.59,216.09,STIM_LBHB_scratch2.wav
210.59,216.09,REFERENCE
210.59,212.59,PreStimSilence
215.59,216.09,PostStimSilence
216.69,222.191,TRIAL
216.69,222.19,STIM_ferretmixed17.wav
216.69,222.19,REFERENCE
216.69,218.69,PreStimSilence
221.69,222.19,PostStimSilence
222.73,228.231,TRIAL
222.73,228.23,STIM_ferretmixed15.wav
222.73,228.23,REFERENCE
222.73,224.73,PreStimSilence
227.73,228.23,PostStimSilence
228.77,234.27100000000002,TRIAL
228.77,234.27,STIM_ferretmixed19.wav
228.77,234.27,REFERENCE
228.77,230.77,PreStimSilence
233.77,234.27,PostStimSilence
234.74,240.241,TRIAL
234.74,240.24,STIM_ASE-71_IBM_Electric_Typewriter.wav
234.74,240.24,REFERENCE
